country,region,change_PIP,change_WID,year
Albania,EE & CA,5.7433898012973685,1.4799999999999986,2000
Argentina,LAC,-2.8237569507607816,1.6199999999999992,2000
Armenia,EE & CA,-12.061851201117108,-3.9299999999999997,2000
Australia,W. Offshoots,1.1038201132302206,3.66,2000
Bangladesh,S & SE Asia,4.814466917582063,3.570000000000002,2000
Belarus,EE & CA,4.02950692605712,0.3699999999999992,2000
Belgium,W. Europe,2.777585239437638,0.9200000000000008,2000
Botswana,SS Africa,-7.465623647886396,-13.34,2000
Brazil,LAC,-8.187992733497772,-0.9899999999999984,2000
Bulgaria,EE & CA,7.8530391504698756,3.789999999999999,2000
Burkina Faso,SS Africa,-12.771265869815217,-6.709999999999999,2000
Burundi,SS Africa,5.291006775904918,2.210000000000001,2000
Cameroon,SS Africa,2.194115616744419,-2.639999999999999,2000
Canada,W. Offshoots,2.49074636538667,5.09,2000
China,East Asia,4.717502925357401,4.710000000000003,2000
Colombia,LAC,-0.46325158677630895,-3.4499999999999993,2000
Cote d'Ivoire,SS Africa,2.089035648097152,1.9900000000000002,2000
Czechia,EE & CA,-0.7373604059285519,2.4400000000000013,2000
Denmark,W. Europe,3.4836360506374717,4.52,2000
Egypt,MENA,1.6963978221634832,3.9200000000000017,2000
Eswatini,SS Africa,-5.874932132910374,-12.280000000000001,2000
Ethiopia,SS Africa,-9.571389966079337,-15.870000000000001,2000
Finland,W. Europe,4.222280616736221,4.720000000000001,2000
France,W. Europe,0.3738101785028789,1.3400000000000016,2000
Germany,W. Europe,2.907755368211106,4.049999999999999,2000
Ghana,SS Africa,5.083648176626724,1.4400000000000013,2000
Greece,W. Europe,-0.9753128974734366,2.879999999999999,2000
Guinea,SS Africa,-16.489656479435023,-2.200000000000001,2000
Hungary,EE & CA,2.4672563958761877,4.630000000000001,2000
India,S & SE Asia,3.010252631898542,9.21,2000
Indonesia,S & SE Asia,7.234570235821586,0.41999999999999815,2000
Iran,MENA,-3.5273652520111938,-3.2799999999999976,2000
Ireland,W. Europe,-5.092664823969422,2.3000000000000007,2000
Israel,MENA,4.212275464104735,-1.240000000000002,2000
Italy,W. Europe,-0.1404514530242693,3.2699999999999996,2000
Kazakhstan,EE & CA,-8.574640721912566,2.0700000000000003,2000
Kenya,SS Africa,-16.68518971641752,-17.39,2000
Laos,S & SE Asia,4.492658546596388,2.650000000000002,2000
Latvia,EE & CA,7.211304058429729,1.8699999999999992,2000
Lesotho,SS Africa,-18.360663756981012,-8.239999999999998,2000
Lithuania,EE & CA,3.7340875021650604,1.92,2000
Luxembourg,W. Europe,5.977794335465301,-2.8500000000000014,2000
Malaysia,S & SE Asia,-6.587327402243403,-4.3100000000000005,2000
Mauritania,SS Africa,-17.4322066050821,-21.409999999999997,2000
Mexico,LAC,-4.934102930074594,14.750000000000002,2000
Mongolia,East Asia,-0.849607372075667,1.8900000000000006,2000
Mozambique,SS Africa,0.4368167453982892,7.030000000000001,2000
Netherlands,W. Europe,-2.193402134482632,1.13,2000
Niger,SS Africa,-1.8209669903934156,-3.9000000000000004,2000
Nigeria,SS Africa,-9.104275016073373,0.33000000000000007,2000
Norway,W. Europe,2.269311042687214,1.8500000000000014,2000
Pakistan,S & SE Asia,-1.9573950722566629,2.1700000000000017,2000
Philippines,S & SE Asia,-2.53688822967662,-2.129999999999999,2000
Poland,EE & CA,2.4529721270340445,6.719999999999999,2000
Romania,EE & CA,10.452162685966137,8.269999999999998,2000
Russia,EE & CA,-10.63489636259061,7.490000000000002,2000
Slovenia,EE & CA,-3.7765279640634404,1.4299999999999988,2000
Spain,W. Europe,-0.4727007461082593,1.6500000000000004,2000
Sri Lanka,S & SE Asia,3.946234257325834,4.309999999999999,2000
Sweden,W. Europe,4.301457330336088,1.9700000000000006,2000
Switzerland,W. Europe,-1.5494509480005192,1.8099999999999987,2000
Taiwan,East Asia,1.5149135227550907,7.549999999999999,2000
Tanzania,SS Africa,5.1990077264707395,5.73,2000
Thailand,S & SE Asia,-11.870625102216692,-4.539999999999999,2000
Tunisia,MENA,-8.841414170211912,-6.09,2000
Turkey,MENA,1.5392552672868405,-1.4100000000000001,2000
Uganda,SS Africa,1.324332242662571,1.700000000000001,2000
Ukraine,EE & CA,-3.469443276703057,-4.869999999999999,2000
United Kingdom,W. Europe,-2.7438421102673445,2.58,2000
United States,W. Offshoots,0.8742348962619957,4.75,2000
Vietnam,S & SE Asia,-0.3878198897485632,0.0899999999999963,2000
Zambia,SS Africa,4.527446515336209,3.6300000000000026,2000
